,medal_type,country_code,discipline,code_athlete
499,Bronze,CUB,Wrestling,1571504
500,Bronze,KGZ,Wrestling,1566601
501,Gold,USA,Wrestling,1955373
502,Silver,CUB,Wrestling,1571747
503,Bronze,JPN,Wrestling,1939712
504,Bronze,CHN,Wrestling,1920000
505,Gold,USA,Athletics,1960961
506,Silver,USA,Athletics,1965223
507,Bronze,JAM,Athletics,1901251
508,Gold,BOT,Athletics,1936983
509,Silver,USA,Athletics,1960659
510,Bronze,USA,Athletics,1960173
511,Gold,PAK,Athletics,1878563
512,Silver,IND,Athletics,1550250
513,Bronze,GRN,Athletics,1573418
514,Gold,USA,Athletics,1965308
515,Silver,USA,Athletics,1960581
516,Bronze,NED,Athletics,1972078
517,Gold,USA,Athletics,1960711
518,Silver,GER,Athletics,1920175
519,Bronze,USA,Athletics,1965250
520,Gold,UZB,Boxing,1556045
521,Silver,FRA,Boxing,1879110
522,Bronze,AUS,Boxing,1940136
523,Bronze,BUL,Boxing,1555185
524,Gold,CHN,Boxing,1926832
525,Silver,TUR,Boxing,1568186
526,Bronze,AUS,Boxing,1940134
527,Bronze,EOR,Boxing,1894537
528,Gold,FRA,Cycling Track,1895717
529,Silver,POR,Cycling Track,1933816
530,Bronze,BEL,Cycling Track,1915370
531,Gold,NZL,Cycling Track,1945040
532,Silver,NED,Cycling Track,1969180
533,Bronze,GBR,Cycling Track,1912522
534,Gold,CHN,Diving,1901550
535,Silver,CHN,Diving,1901549
536,Bronze,MEX,Diving,1535349
537,Gold,NED,Marathon Swimming,1972515
538,Silver,AUS,Marathon Swimming,1945588
539,Bronze,ITA,Marathon Swimming,1925804
540,Gold,GBR,Sailing,1899728
541,Silver,FRA,Sailing,1559512
542,Bronze,NED,Sailing,1970517
543,Gold,INA,Sport Climbing,1940329
544,Silver,CHN,Sport Climbing,1913699
545,Bronze,USA,Sport Climbing,1950309
546,Gold,UZB,Taekwondo,1887714
547,Silver,JOR,Taekwondo,1537401
548,Bronze,CHN,Taekwondo,1910367
549,Bronze,BRA,Taekwondo,1955815
550,Gold,KOR,Taekwondo,1904038
551,Silver,IRI,Taekwondo,1536067
552,Bronze,CAN,Taekwondo,1966505
553,Bronze,BUL,Taekwondo,2493835
554,Gold,INA,Weightlifting,1941786
555,Silver,THA,Weightlifting,1898067
556,Bronze,BUL,Weightlifting,1902787
557,Gold,CHN,Weightlifting,1918379
558,Silver,CAN,Weightlifting,1965815
559,Bronze,TPE,Weightlifting,1569563
560,Gold,IRI,Wrestling,1544928
561,Silver,UKR,Wrestling,1550119
562,Bronze,AZE,Wrestling,1981760
563,Bronze,CUB,Wrestling,1571498
564,Gold,BUL,Wrestling,1559471
565,Silver,IRI,Wrestling,1544880
566,Bronze,UKR,Wrestling,1550116
567,Bronze,DEN,Wrestling,1879518
568,Gold,JPN,Wrestling,1939711
569,Silver,ECU,Wrestling,1960228
570,Bronze,PRK,Wrestling,1980149
571,Bronze,CHN,Wrestling,1920006
572,Gold,USA,Athletics,1960684
573,Silver,NOR,Athletics,1894095
574,Bronze,BRA,Athletics,1951913
575,Gold,ESP,Athletics,1904099
576,Silver,POR,Athletics,1938792
577,Bronze,ITA,Athletics,1552375
578,Gold,KEN,Athletics,1910560
579,Silver,ITA,Athletics,1552305
580,Bronze,NED,Athletics,1972105
581,Gold,DOM,Athletics,1899666
582,Silver,BRN,Athletics,1915338
583,Bronze,POL,Athletics,1573098
584,Gold,GER,Athletics,1920183
585,Silver,NZL,Athletics,1926695
586,Bronze,CHN,Athletics,1919065
587,Gold,UZB,Boxing,1556797
588,Silver,MEX,Boxing,1535187
589,Gold,UZB,Boxing,1556860
590,Silver,AZE,Boxing,1972343
591,Gold,CHN,Boxing,1926833
592,Silver,TUR,Boxing,1568182
593,Gold,ALG,Boxing,1540353
594,Silver,CHN,Boxing,1926827
595,Gold,JPN,Breaking,1953038
596,Silver,LTU,Breaking,1924559
597,Bronze,CHN,Breaking,1909907
598,Gold,CZE,Canoe Sprint,1878716
599,Silver,BRA,Canoe Sprint,1952595
600,Bronze,MDA,Canoe Sprint,1550295
601,Gold,NED,Cycling Track,1969182
602,Silver,AUS,Cycling Track,1940263
603,Bronze,GBR,Cycling Track,1912515
604,Gold,CHN,Diving,1901538
605,Silver,AUS,Diving,1940414
606,Bronze,CHN,Diving,1901539
607,Gold,HUN,Marathon Swimming,1909030
608,Silver,GER,Marathon Swimming,1907234
609,Bronze,HUN,Marathon Swimming,1902450
610,Gold,AUT,Sailing,1566437
611,Silver,SLO,Sailing,1981549
612,Bronze,SGP,Sailing,1535852
613,Gold,GBR,Sport Climbing,1544218
614,Silver,JPN,Sport Climbing,1892022
615,Bronze,AUT,Sport Climbing,1560677
616,Gold,TUN,Taekwondo,1947737
617,Silver,IRI,Taekwondo,1536058
618,Bronze,ITA,Taekwondo,1929685
619,Bronze,DEN,Taekwondo,1914832
620,Gold,HUN,Taekwondo,1572318
621,Silver,SRB,Taekwondo,1956372
622,Bronze,USA,Taekwondo,1930773
623,Bronze,BEL,Taekwondo,1903284
624,Gold,BUL,Weightlifting,1903011
625,Silver,COL,Weightlifting,1543506
626,Bronze,ITA,Weightlifting,1568724
627,Gold,USA,Weightlifting,1917154
628,Silver,COL,Weightlifting,1543509
629,Bronze,ECU,Weightlifting,1940300
630,Gold,JPN,Wrestling,1939714
631,Silver,USA,Wrestling,1955415
632,Bronze,IND,Wrestling,1931496
633,Bronze,UZB,Wrestling,1562157
634,Gold,BUL,Wrestling,1556873
635,Silver,IRI,Wrestling,1544803
636,Bronze,USA,Wrestling,1955300
637,Bronze,GRE,Wrestling,1963800
638,Gold,JPN,Wrestling,1939710
639,Silver,MDA,Wrestling,1572203
640,Bronze,USA,Wrestling,1955426
641,Bronze,CHN,Wrestling,1920010
642,Gold,NOR,Athletics,1898250
643,Silver,KEN,Athletics,1963077
644,Bronze,USA,Athletics,1960959
645,Gold,KEN,Athletics,1910412
646,Silver,CAN,Athletics,1974048
647,Bronze,ALG,Athletics,1963520
648,Gold,NZL,Athletics,1926713
649,Silver,USA,Athletics,1965306
650,Bronze,QAT,Athletics,1566681
651,Gold,ETH,Athletics,1901284
652,Silver,BEL,Athletics,1942753
653,Bronze,KEN,Athletics,1910555
654,Gold,USA,Athletics,1960169
655,Silver,FRA,Athletics,1911932
656,Bronze,PUR,Athletics,1537183
657,Gold,KEN,Athletics,1910451
658,Silver,AUS,Athletics,1939795
659,Bronze,GBR,Athletics,1956840
660,Gold,JPN,Athletics,1919914
661,Silver,RSA,Athletics,1981085
662,Bronze,CZE,Athletics,1892137
