,medal_type,country_code,discipline,code_athlete
2189,Gold,DEN,Handball,1895248
2190,Gold,DEN,Handball,1895241
2191,Gold,DEN,Handball,1895238
2192,Gold,DEN,Handball,1895239
2193,Gold,DEN,Handball,1895202
2194,Gold,DEN,Handball,1895227
2195,Gold,DEN,Handball,1895228
2196,Gold,DEN,Handball,1895237
2197,Gold,DEN,Handball,1895172
2198,Gold,DEN,Handball,1895235
2199,Gold,DEN,Handball,1895161
2200,Gold,DEN,Handball,1895178
2201,Gold,DEN,Handball,1895234
2202,Gold,DEN,Handball,1895236
2203,Gold,DEN,Handball,1895180
2204,Silver,GER,Handball,1899256
2205,Silver,GER,Handball,1899239
2206,Silver,GER,Handball,1899226
2207,Silver,GER,Handball,1899206
2208,Silver,GER,Handball,1899237
2209,Silver,GER,Handball,1899214
2210,Silver,GER,Handball,1899227
2211,Silver,GER,Handball,1899231
2212,Silver,GER,Handball,1899185
2213,Silver,GER,Handball,1899247
2214,Silver,GER,Handball,1899193
2215,Silver,GER,Handball,1899181
2216,Silver,GER,Handball,1899252
2217,Silver,GER,Handball,1899246
2218,Silver,GER,Handball,3546884
2219,Silver,GER,Handball,1899187
2220,Bronze,ESP,Handball,1948272
2221,Bronze,ESP,Handball,1948260
2222,Bronze,ESP,Handball,1948239
2223,Bronze,ESP,Handball,1948238
2224,Bronze,ESP,Handball,1948246
2225,Bronze,ESP,Handball,1948251
2226,Bronze,ESP,Handball,1948281
2227,Bronze,ESP,Handball,1948233
2228,Bronze,ESP,Handball,1948252
2229,Bronze,ESP,Handball,1948288
2230,Bronze,ESP,Handball,1948280
2231,Bronze,ESP,Handball,1948240
2232,Bronze,ESP,Handball,1948268
2233,Bronze,ESP,Handball,1948244
2234,Bronze,ESP,Handball,1948278
2235,Gold,ITA,Volleyball,1921740
2236,Gold,ITA,Volleyball,1921757
2237,Gold,ITA,Volleyball,1921738
2238,Gold,ITA,Volleyball,1921747
2239,Gold,ITA,Volleyball,1921751
2240,Gold,ITA,Volleyball,1921746
2241,Gold,ITA,Volleyball,1921742
2242,Gold,ITA,Volleyball,1921752
2243,Gold,ITA,Volleyball,1921743
2244,Gold,ITA,Volleyball,1969716
2245,Gold,ITA,Volleyball,1921761
2246,Gold,ITA,Volleyball,1921753
2247,Gold,ITA,Volleyball,1921749
2248,Silver,USA,Volleyball,1917762
2249,Silver,USA,Volleyball,1917759
2250,Silver,USA,Volleyball,1917760
2251,Silver,USA,Volleyball,1917765
2252,Silver,USA,Volleyball,1917766
2253,Silver,USA,Volleyball,1917769
2254,Silver,USA,Volleyball,1917758
2255,Silver,USA,Volleyball,1917738
2256,Silver,USA,Volleyball,1917752
2257,Silver,USA,Volleyball,1917741
2258,Silver,USA,Volleyball,1917757
2259,Silver,USA,Volleyball,1917756
2260,Silver,USA,Volleyball,1917746
2261,Gold,SRB,Water Polo,1956434
2262,Gold,SRB,Water Polo,1956444
2263,Gold,SRB,Water Polo,1956459
2264,Gold,SRB,Water Polo,1956456
2265,Gold,SRB,Water Polo,1956426
2266,Gold,SRB,Water Polo,1956427
2267,Gold,SRB,Water Polo,1956432
2268,Gold,SRB,Water Polo,1956440
2269,Gold,SRB,Water Polo,1956466
2270,Gold,SRB,Water Polo,1956465
2271,Gold,SRB,Water Polo,1956457
2272,Gold,SRB,Water Polo,1956438
2273,Gold,SRB,Water Polo,1956448
2274,Silver,CRO,Water Polo,1915766
2275,Silver,CRO,Water Polo,1915768
2276,Silver,CRO,Water Polo,1915778
2277,Silver,CRO,Water Polo,1915781
2278,Silver,CRO,Water Polo,1915784
2279,Silver,CRO,Water Polo,1915769
2280,Silver,CRO,Water Polo,1915792
2281,Silver,CRO,Water Polo,1915791
2282,Silver,CRO,Water Polo,1915802
2283,Silver,CRO,Water Polo,1915790
2284,Silver,CRO,Water Polo,1915801
2285,Silver,CRO,Water Polo,1915782
2286,Silver,CRO,Water Polo,1915793
2287,Bronze,USA,Water Polo,1908370
2288,Bronze,USA,Water Polo,1908360
2289,Bronze,USA,Water Polo,1908369
2290,Bronze,USA,Water Polo,1908365
2291,Bronze,USA,Water Polo,1908353
2292,Bronze,USA,Water Polo,1908352
2293,Bronze,USA,Water Polo,1908357
2294,Bronze,USA,Water Polo,1908371
2295,Bronze,USA,Water Polo,1908350
2296,Bronze,USA,Water Polo,1908354
2297,Bronze,USA,Water Polo,1908355
2298,Bronze,USA,Water Polo,1908361
2299,Bronze,USA,Water Polo,1908359
2300,Gold,CHN,Rhythmic Gymnastics,1927515
2301,Gold,CHN,Rhythmic Gymnastics,1927516
2302,Gold,CHN,Rhythmic Gymnastics,1927517
2303,Gold,CHN,Rhythmic Gymnastics,1927518
2304,Gold,CHN,Rhythmic Gymnastics,1927519
2305,Silver,ISR,Rhythmic Gymnastics,1908226
2306,Silver,ISR,Rhythmic Gymnastics,1908240
2307,Silver,ISR,Rhythmic Gymnastics,1908233
2308,Silver,ISR,Rhythmic Gymnastics,1908235
2309,Silver,ISR,Rhythmic Gymnastics,1908230
2310,Bronze,ITA,Rhythmic Gymnastics,1923700
2311,Bronze,ITA,Rhythmic Gymnastics,1923701
2312,Bronze,ITA,Rhythmic Gymnastics,1923699
2313,Bronze,ITA,Rhythmic Gymnastics,1923703
2314,Bronze,ITA,Rhythmic Gymnastics,1923704
