,code_athlete,name,country_code,country,discipline,medal_type
5785,1920021,WANG Juan,CHN,China,Wrestling,
5786,1920049,NYAHORA Rutendo Joan,ZIM,Zimbabwe,Athletics,
5787,1920055,LIN Xinyu,CHN,China,Triathlon,
5788,1920065,MPOFU Isaac,ZIM,Zimbabwe,Athletics,
5789,1920081,ABUAKU Joshua,GER,Germany,Athletics,
5790,1920082,AGYEKUM Emil,GER,Germany,Athletics,
5791,1920083,ALMAS Deniz,GER,Germany,Athletics,
5792,1920085,ANSAH-PEPRAH Lucas,GER,Germany,Athletics,
5793,1920092,BREDAU Jean Paul,GER,Germany,Athletics,
5794,1920096,BURGHARDT Alexandra,GER,Germany,Athletics,Bronze
5795,1920102,DEMES Eileen,GER,Germany,Athletics,
5796,1920110,FARKEN Robert,GER,Germany,Athletics,
5797,1920111,FEIGE Saskia,GER,Germany,Athletics,
5798,1920119,HAASE Rebekka,GER,Germany,Athletics,Bronze
5799,1920122,HARTMANN Joshua,GER,Germany,Athletics,
5800,1920128,HESS Max,GER,Germany,Athletics,
5801,1920129,HILBERT Jonathan,GER,Germany,Athletics,
5802,1920130,KLOSE Soeren,GER,Germany,Athletics,
5803,1920134,HUMMEL Merlin,GER,Germany,Athletics,
5804,1920135,HUSSONG Christin,GER,Germany,Athletics,
5805,1920137,JANSSEN Henrik,GER,Germany,Athletics,
5806,1920142,JUNK Sophia,GER,Germany,Athletics,Bronze
5807,1920146,KAUL Niklas,GER,Germany,Athletics,
5808,1920148,KENZEL Alina,GER,Germany,Athletics,
5809,1920150,KLEIN Hanna,GER,Germany,Athletics,
5810,1920152,KOCH Marc,GER,Germany,Athletics,
5811,1920153,KOLBERG Majtie,GER,Germany,Athletics,
5812,1920154,KOEPP Leo,GER,Germany,Athletics,
5813,1920155,KRAUSE Gesa Felicitas,GER,Germany,Athletics,
5814,1920158,KWAYIE Lisa Marie,GER,Germany,Athletics,
5815,1920161,LINKE Christopher,GER,Germany,Athletics,
5816,1920162,LITA BAEHRE Bo Kanda,GER,Germany,Athletics,
5817,1920164,LUECKENKEMPER Gina,GER,Germany,Athletics,Bronze
5818,1920167,MAISCH Katharina,GER,Germany,Athletics,
5819,1920169,MAYER Lisa,GER,Germany,Athletics,Bronze
5820,1920170,MAYER Mona,GER,Germany,Athletics,
5821,1920174,MEYER Lea,GER,Germany,Athletics,
5822,1920175,MIHAMBO Malaika,GER,Germany,Athletics,Silver
5823,1920180,NEUGEBAUER Leo,GER,Germany,Athletics,Silver
5824,1920183,OGUNLEYE Yemisi,GER,Germany,Athletics,Gold
5825,1920185,ONNEN Imke,GER,Germany,Athletics,
5826,1920188,PETROS Amanal,GER,Germany,Athletics,
5827,1920191,POTYE Tobias,GER,Germany,Athletics,
5828,1920192,PREIS Constantin,GER,Germany,Athletics,
5829,1920194,PROBST Marius,GER,Germany,Athletics,
5830,1920195,PRUEFER Clemens,GER,Germany,Athletics,
5831,1920197,PUDENZ Kristin,GER,Germany,Athletics,
5832,1920202,RINGER Richard,GER,Germany,Athletics,
5833,1920206,SANDERS Manuel,GER,Germany,Athletics,
5834,1920207,SCHAEFER Carolin,GER,Germany,Athletics,
5835,1920211,SCHNEIDER Velten,GER,Germany,Athletics,
5836,1920221,STEINFORTH Till,GER,Germany,Athletics,
5837,1920230,VITA Claudine,GER,Germany,Athletics,
5838,1920234,WAGNER Julian,GER,Germany,Athletics,
5839,1920236,WEBER Julian,GER,Germany,Athletics,
5840,1920238,WESSEL Nele,GER,Germany,Athletics,
5841,1920244,WOLF Yannick,GER,Germany,Athletics,
5842,1920246,ZERNIKEL Oleg,GER,Germany,Athletics,
5843,1920249,HOTTENROTT Laura,GER,Germany,Athletics,
5844,1920252,KRANZ Kevin,GER,Germany,Athletics,
5845,1920254,DAMMERMANN Fabian,GER,Germany,Athletics,
5846,1920258,BEBENDORF Karl,GER,Germany,Athletics,
5847,1920259,FITWI SIBHATU Samuel,GER,Germany,Athletics,
5848,1920269,SCHIER Skadi,GER,Germany,Athletics,
5849,1920276,GUERTH Olivia,GER,Germany,Athletics,
5850,1920277,SONNTAG Lena,GER,Germany,Athletics,
5851,1920289,WEISSENBERG Sophie,GER,Germany,Athletics,
5852,1920290,HOVEN Annkathrin,GER,Germany,Athletics,
5853,1920295,BULMAHN Luna,GER,Germany,Athletics,
5854,1920296,SCHMIDT Alica,GER,Germany,Athletics,
5855,1920297,HONSEL Christina,GER,Germany,Athletics,
5856,1920299,ASSANI Mikaelle,GER,Germany,Athletics,
5857,1920301,BLECH Torben,GER,Germany,Athletics,
5858,1920302,KRAFZIK Carolina,GER,Germany,Athletics,
5859,1920305,STEINACKER Marike,GER,Germany,Athletics,
5860,1920307,RUPPERT Frederik,GER,Germany,Athletics,
5861,1920314,BATZ Simon,GER,Germany,Athletics,
5862,1920326,DEHNING Max,GER,Germany,Athletics,
5863,1920334,MUELLER Laura Raquel,GER,Germany,Athletics,
5864,1920339,SOSNA Mika,GER,Germany,Athletics,
5865,1920345,ASKOVIC Aleksandar,GER,Germany,Athletics,
5866,1920348,KEJETA Melat Yisak,GER,Germany,Athletics,
5867,1920355,ANSAH Owen,GER,Germany,Athletics,
5868,1920366,PRENZ Tyrel,GER,Germany,Athletics,
5869,1920384,MAYER Domenika,GER,Germany,Athletics,
5870,1920412,MORDI Manuel,GER,Germany,Athletics,
5871,1920415,KNAESCHE Anjuli,GER,Germany,Athletics,
5872,1920440,KLEI Niklas Noah,GER,Germany,Athletics,
5873,1920454,KEREKES Greta,HUN,Hungary,Athletics,
5874,1920568,KLEKNER Hanga,HUN,Hungary,Athletics,
5875,1920569,DENG Yawen,CHN,China,Cycling BMX Freestyle,Gold
5876,1920571,SUN Jiaqi,CHN,China,Cycling BMX Freestyle,
5877,1920607,LYU Xianjing,CHN,China,Cycling Road,
5878,1920618,TANG Xin,CHN,China,Cycling Road,
5879,1920622,KOZAK Luca,HUN,Hungary,Athletics,
5880,1920626,KRIZSAN Xenia,HUN,Hungary,Athletics,
5881,1920637,MADARASZ Viktoria,HUN,Hungary,Athletics,
5882,1920638,BAO Shanju,CHN,China,Cycling Track,
5883,1920639,GUO Yufang,CHN,China,Cycling Track,
5884,1920640,YUAN Liying,CHN,China,Cycling Track,
5885,1920641,JIANG Yulu,CHN,China,Cycling Track,
5886,1920643,ZHOU Yu,CHN,China,Cycling Track,
5887,1920645,GUO Shuai,CHN,China,Cycling Track,
5888,1920646,LIU Qi,CHN,China,Cycling Track,
5889,1920649,LI Zhiwei,CHN,China,Cycling Track,
5890,1920670,LIU Jiali,CHN,China,Cycling Track,
5891,1920683,MOLNAR Attila,HUN,Hungary,Athletics,
5892,1920696,NEMES Rita,HUN,Hungary,Athletics,
5893,1920707,DHAOUADI Selma,TUN,Tunisia,Rowing,
5894,1920708,TAIEB Mohamed,TUN,Tunisia,Rowing,
5895,1920729,GYURATZ Reka,HUN,Hungary,Athletics,
5896,1920753,BYAMBASUREN Bat Erdene,MGL,Mongolia,Wrestling,
5897,1920760,ENKH AMAR Davaanasan,MGL,Mongolia,Wrestling,
5898,1920805,CHARAMBA Makanakaishe,ZIM,Zimbabwe,Athletics,
5899,1920815,XIONG Shiqi,CHN,China,Athletics,
5900,1920828,SHI Yuhao,CHN,China,Athletics,
5901,1920830,ZHANG Mingkun,CHN,China,Athletics,
5902,1920833,ZHU Yaming,CHN,China,Athletics,
5903,1920835,FANG Yaoqing,CHN,China,Athletics,
5904,1920836,SU Wen,CHN,China,Athletics,
5905,1920838,YAO Jie,CHN,China,Athletics,
5906,1920839,HUANG Bokai,CHN,China,Athletics,
5907,1920840,ZHONG Tao,CHN,China,Athletics,
5908,1920843,WANG Zhen,CHN,China,Athletics,
5909,1920849,ZENG Rui,CHN,China,Athletics,
5910,1920857,NIU Chunge,CHN,China,Athletics,
5911,1921032,MUNKHTUR Lkhagvagerel,MGL,Mongolia,Wrestling,
5912,1921046,ROCHE Mark,IRL,Ireland,Rugby Sevens,
5913,1921051,TEMBO Margaret,ZAM,Zambia,Boxing,
5914,1921075,RABA Daniel,HUN,Hungary,Athletics,
5915,1921119,USMONOV Bakhodur,TJK,Tajikistan,Boxing,
5916,1921205,KHATTALI Ghailene,TUN,Tunisia,Canoe Sprint,
5917,1921206,JEMAI Salim,TUN,Tunisia,Canoe Slalom,
5918,1921345,SBERTOLI Riccardo,ITA,Italy,Volleyball,
5919,1921347,GIANNELLI Simone,ITA,Italy,Volleyball,
5920,1921351,MICHIELETTO Alessandro,ITA,Italy,Volleyball,
5921,1921353,LAVIA Daniele,ITA,Italy,Volleyball,
5922,1921355,BOVOLENTA Alessandro Alberto,ITA,Italy,Volleyball,
5923,1921356,GALASSI Gianluca,ITA,Italy,Volleyball,
5924,1921360,ROMANO Yuri,ITA,Italy,Volleyball,
5925,1921362,SANGUINETTI Giovanni,ITA,Italy,Volleyball,
5926,1921364,RUSSO Roberto,ITA,Italy,Volleyball,
5927,1921365,BOTTOLO Mattia,ITA,Italy,Volleyball,
5928,1921367,BALASO Fabio,ITA,Italy,Volleyball,
5929,1921489,MARTIN Damir,CRO,Croatia,Rowing,
5930,1921490,SINKOVIC Valent,CRO,Croatia,Rowing,Gold
5931,1921529,MIURA Ryuji,JPN,Japan,Athletics,
5932,1921537,MORIMOTO Mariko,JPN,Japan,Athletics,
5933,1921538,OKADA Kumiko,JPN,Japan,Athletics,
5934,1921545,MURATAKE Rachid,JPN,Japan,Athletics,
5935,1921553,NAKAJIMA Yuki Joseph,JPN,Japan,Athletics,
5936,1921559,NISHI Yudai,JPN,Japan,Athletics,
5937,1921571,OGAWA Daiki,JPN,Japan,Athletics,
5938,1921583,OSAKO Suguru,JPN,Japan,Athletics,
5939,1921585,OTA Tomoki,JPN,Japan,Athletics,
5940,1921593,SAITO Marina,JPN,Japan,Athletics,
5941,1921596,SAKAI Ryuichiro,JPN,Japan,Athletics,
5942,1921599,SANI BROWN Abdul Hakim,JPN,Japan,Athletics,
5943,1921605,SATO Fuga,JPN,Japan,Athletics,
5944,1921607,SATO Kentaro,JPN,Japan,Athletics,
5945,1921619,SHINNO Tomohiro,JPN,Japan,Athletics,
5946,1921634,SUZUKI Yuka,JPN,Japan,Athletics,
5947,1921642,ICHIYAMA Mao,JPN,Japan,Athletics,
5948,1921673,TUMUR OCHIR Tulga,MGL,Mongolia,Wrestling,
5949,1921738,ORRO Alessia,ITA,Italy,Volleyball,Gold
5950,1921740,CAMBI Carlotta,ITA,Italy,Volleyball,Gold
5951,1921742,EGONU Paola Ogechi,ITA,Italy,Volleyball,Gold
5952,1921743,ANTROPOVA Ekaterina,ITA,Italy,Volleyball,Gold
5953,1921746,SYLLA Myriam Fatime,ITA,Italy,Volleyball,Gold
5954,1921747,BOSETTI Caterina Chiara,ITA,Italy,Volleyball,Gold
5955,1921749,OMORUYI Oghosasere Loveth,ITA,Italy,Volleyball,Gold
5956,1921751,DANESI Anna,ITA,Italy,Volleyball,Gold
5957,1921752,FAHR Sarah Luisa,ITA,Italy,Volleyball,Gold
5958,1921753,LUBIAN Marina,ITA,Italy,Volleyball,Gold
5959,1921757,de GENNARO Monica,ITA,Italy,Volleyball,Gold
5960,1921761,SPIRITO Ilaria,ITA,Italy,Volleyball,Gold
5961,1921764,TAKAHASHI Kazuki,JPN,Japan,Athletics,
5962,1921770,TAKASHIMA Yuka,JPN,Japan,Athletics,
5963,1921771,TAKAYAMA Shunya,JPN,Japan,Athletics,
5964,1921781,TANAKA Yumi,JPN,Japan,Athletics,
5965,1921782,TANAKA Nozomi,JPN,Japan,Athletics,
5966,1921797,TOYODA Ken,JPN,Japan,Athletics,
5967,1921812,UEDA Momone,JPN,Japan,Athletics,
5968,1921818,UEYAMA Koki,JPN,Japan,Athletics,
5969,1921833,UZAWA Towa,JPN,Japan,Athletics,
5970,1921865,YAMAMOTO Yuma,JPN,Japan,Athletics,
5971,1921878,YANAGITA Hiroki,JPN,Japan,Athletics,
5972,1921879,YANAI Ayane,JPN,Japan,Athletics,
5973,1921891,YOSHIZU Takuho,JPN,Japan,Athletics,
5974,1921929,PORRO Luca,ITA,Italy,Volleyball,
5975,1921943,MENEGATTI Marta,ITA,Italy,Beach Volleyball,
5976,1921944,GOTTARDI Valentina,ITA,Italy,Beach Volleyball,
5977,1921948,NICOLAI Paolo,ITA,Italy,Beach Volleyball,
5978,1921949,COTTAFAVA Samuele,ITA,Italy,Beach Volleyball,
5979,1921950,RANGHIERI Alex,ITA,Italy,Beach Volleyball,
5980,1921951,CARAMBULA RAURICH Adrian Ignacio,ITA,Italy,Beach Volleyball,
5981,1921959,SEIM Mart,EST,Estonia,Weightlifting,
5982,1922117,JEFIMOVA Eneli,EST,Estonia,Swimming,
5983,1922139,OSULLIVAN Christian,NOR,Norway,Handball,
5984,1922191,MARKOVIC Martin,CRO,Croatia,Athletics,
5985,1922195,BJELJAC Bojana,CRO,Croatia,Athletics,
5986,1922205,ELKASEVIC Sandra,CRO,Croatia,Athletics,Bronze
5987,1922208,GREGURIC Matija,CRO,Croatia,Athletics,
5988,1922211,KOLAK Sara,CRO,Croatia,Athletics,
5989,1922213,MIHALJEVIC Fili,CRO,Croatia,Athletics,
5990,1922216,PARLOV KOSTRO Matea,CRO,Croatia,Athletics,
5991,1922220,TOLJ Marija,CRO,Croatia,Athletics,
5992,1922329,ILIEVA Yoana,BUL,Bulgaria,Fencing,
5993,1922341,PRAVDICA Fili,CRO,Croatia,Athletics,
5994,1922387,DIZ Fernando,URU,Uruguay,Sailing,
5995,1922393,MOREIRA FRASCHINI Dolores,URU,Uruguay,Sailing,
5996,1922424,ZIRK Kregor,EST,Estonia,Swimming,
5997,1922425,UMPIERRE Hernan,URU,Uruguay,Sailing,
5998,1922434,ACQUAVIVA Safiatou,GUI,Guinea,Athletics,
5999,1922593,ALEKNA Mykolas,LTU,Lithuania,Athletics,Silver
6000,1922600,ALEKNA Martynas,LTU,Lithuania,Athletics,
6001,1922687,DIFFERT Nelli,EST,Estonia,Fencing,
6002,1922693,ZURLONI Matteo,ITA,Italy,Sport Climbing,
6003,1922695,COLLI Beatrice,ITA,Italy,Sport Climbing,
6004,1922697,ROGORA Laura,ITA,Italy,Sport Climbing,
