,code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date
9963,1967727,True,MORAIS Linda,MORAIS L,Linda MORAIS,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0.0,0.0,['Wrestling'],"[""Women's Freestyle 68kg""]",1993-07-31
9964,1967740,True,TAYLOR Hannah Fay,TAYLOR HF,Hannah Fay TAYLOR,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,0.0,0.0,['Wrestling'],"[""Women's Freestyle 57kg""]",1998-04-30
9965,1967750,True,TOMLJANOVIC Ajla,TOMLJANOVIC A,Ajla TOMLJANOVIC,Female,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,181.0,0.0,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",1993-05-07
9966,1967752,True,de MINAUR Alex,de MINAUR A,Alex de MINAUR,Male,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,183.0,0.0,['Tennis'],"[""Men's Doubles""]",1999-02-17
9967,1967753,True,POPYRIN Alexei,POPYRIN A,Alexei POPYRIN,Male,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,196.0,0.0,['Tennis'],"[""Men's Doubles"", ""Men's Singles""]",1999-08-05
9968,1967757,True,SAVILLE Daria,SAVILLE D,Daria SAVILLE,Female,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,166.0,0.0,['Tennis'],"[""Women's Doubles""]",1994-03-05
9969,1967758,True,PEREZ Ellen,PEREZ E,Ellen PEREZ,Female,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,169.0,0.0,['Tennis'],"[""Women's Doubles"", 'Mixed Doubles']",1995-10-10
9970,1967762,True,PEERS John,PEERS J,John PEERS,Male,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,191.0,0.0,['Tennis'],"[""Men's Doubles""]",1988-07-25
9971,1967767,True,EBDEN Matthew,EBDEN M,Matthew EBDEN,Male,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,188.0,0.0,['Tennis'],"[""Men's Doubles"", ""Men's Singles"", 'Mixed Doubles']",1987-11-26
9972,1967770,True,GADECKI Olivia,GADECKI O,Olivia GADECKI,Female,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,183.0,0.0,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",2002-04-24
9973,1967772,True,HIJIKATA Rinky,HIJIKATA R,Rinky HIJIKATA,Male,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,177.0,0.0,['Tennis'],"[""Men's Singles""]",2001-02-23
9974,1968003,True,DELGADO Anicka,DELGADO A,Anicka DELGADO,Female,Athlete,ECU,Ecuador,Ecuador,Ecuador,Ecuador,ECU,0.0,0.0,['Swimming'],"[""Women's 50m Freestyle""]",2002-06-13
9975,1968005,True,SHAH Alexander,SHAH A,Alexander SHAH,Male,Athlete,NEP,Nepal,Nepal,Nepal,Nepal,NEP,0.0,0.0,['Swimming'],"[""Men's 100m Freestyle""]",2002-10-29
